,ISBN,Title,Author,Authors_Number,Description,Genres,Average_Ratings,Reviews_Number,Quotes_Number,Community_Size,Pages_Number,Editions,Publication_Year,Publisher,URL,Cover_URL
500,,حيوانات أليفة في منزلك - الثدييات,تأليف مصطفى الرواس (تأليف),"المؤلفون
1",عبر التاريخ كانت أسباب تأهيل الإنسان للحيوانات كثيرة، فبالإضافة إلى الحاجات الغذائية التي تلبيها فقد وفرت له أهم مصادر النسيج من شعر وصوف. وفي كثير من البلاد تجسد الحيوانات الأهلية ثورة للفرد الذي يمتلكها وهو لا يستهلكها إلا عندما تشيخ. وهذا الكتاب يقدم دراسة وافية ومفصلة عن الحيوانات الأليفة الثدية التي تعيش في منزلك. وقد تضمن الكتاب إلى جانب اللمحة السريعة عن نشأة هذه الأنواع والأجناس في الحيوانات دراسة مفصلة عن تطورها، أنواعها، مواصفاتها، هذا بالإضافة إلى الصور الفوتوغرافية النادرة والهامة عن هذه الحيوانات، وكذلك عن الفصائل الثدية الأخرى التي تعيش في الغابة أو الأحراش.,زراعة وحيوان علم الحيوان,,مراجعات,اقتباسات,القرّاء,دار المقاصد للتأليف والطباعة والنشر,"طبعات
1",288 صفحة,,https://www.abjjad.com/book/2201550972/%D8%AD%D9%8A%D9%88%D8%A7%D9%86%D8%A7%D8%AA-%D8%A7%D9%84%D9%8A%D9%81%D8%A9-%D9%81%D9%8A-%D9%85%D9%86%D8%B2%D9%84%D9%83-%D8%A7%D9%84%D8%AB%D8%AF%D9%8A%D9%8A%D8%A7%D8%AA/2201780352/reviews,https://abjjadst.blob.core.windows.net/pub/7c8f3705-b7ee-4e78-aa72-00597b13315e-192X290.jpg
501,ISBN 9953300909,موسوعات أجيالنا للشباب: عالم النبات وطب الأعشاب,تأليف مجموعة مؤلفين (تأليف),"المؤلفون
1","كثيرة هي ميادين الحياة التي يصعب الوقوف عليها ومعرفتها، في ظل ما تعرضه ظروف الحياة على فئة الشباب الذين لا يجدون الوقت الكافي للإلمام بكل شيء، وقليلة أيضاً هي الكتب والموسوعات التي تضع بين يدي هؤلاء كل ما يحتاجون إليه من معلومات تشبع رغبتهم في المعرفة والتعلم، كما تتوافق وميلهم 
			مؤسسة عبد الحميد شومان:احمد السيد النجار، محمد سعيد النابلسي، محمد الصمادي، محمد الحلايقة؛ وآخرون إلى النشاط والحركة وتراعي عدم توفر الوقت الكافي لديهم لقراءة المراجع والموسوعات الضخمة.وحدها موسوعة أجيالنا حاولت مراعاة هذه الحقائق، فتعرض في مجلداتها الكثير من العلوم والمعارف التي تعد أساسية لكل معرفة بني عليها، فقدم الجواب الشافي لكل سؤال يتبادر إلى أذهان هؤلاء الشباب على كل ما يدور من حولهم، من جماد ونبات وحيوان وعن غرائب وحقائق الكون، وفيها أيضاً إطلالة على قصة الحضارة أ, على أهم المكتشفات والمخترعات التي اكتشفها الإنسان منذ أن خرج من المغاور والكهوف ليقيم في مجتمعات مزينة نمت شيئاً فشيئاً...كما وفي هذه الموسوعة تفاصيل عن أعمال وسير العباقرة والعظماء والقادة والأحداث التاريخية وأبطالها... كل ذلك تم عرضه على صفحات هذه الموسوعة بأسلوب ميسر معزز بالصور الملونة الرائعة والرسوم التفصيلية والبيانية، فلعل صورة معبرة تخدم الغرض وتؤدي الفكرة أكثر من الكلمات، فالصورة في هذه الموسوعة ليست ترتيبية، بل إنها بعض المادة العلمية منها، حيث أنه قد تم استخدامها للتوضيح والشرح، كما تؤلف مع ما يلحق بها من شرح مواد إضافية تكمل مادة المتن وتعززها.وبين يدينا مجلد من مجلدات هذه الموسوعة وهو مخصص للحديث عن عالمي النبات وطب الأعشاب وذلك من خلال سؤال وجواب أدرجت في فقرات مبسطة مختصرة لكنها غنية بالمعلومات ومن الأسئلة المطروحة على صفحات هذا المجلد نذكر: كيف تبعثر الطبيعة البذور؟ ما هي الفصيلة النجيلية أو الفصيلة العشبية؟ ما هي النباتات دائمة الخضرة؟ ما هي الحزازيات وطحالب بنات حشيشة الكبد؟ ما هي أصغر النباتات التي تعيش أطوال؟ ما هي مقدمات الأشجار السرخسية؟وفي الكتاب أيضاً نصائح جاءت على شكل معلومات مختصرة تساعد من المعالجة في الأمراض أو الوقاية منها... وجميع هذه النصائح تعتمد ف يمادتها على ما جاء في القرآن الكريم والسنة النبوية من نصوص ومعلومات طبية.",كتب أطفال كتب تعليمية زراعة وحيوان علم النبات مراجع موسوعات,,مراجعات,اقتباسات,القرّاء,144 صفحة,"طبعات
1",نشر سنة 2005,,https://www.abjjad.com/book/2202075174/%D9%85%D9%88%D8%B3%D9%88%D8%B9%D8%A7%D8%AA-%D8%A7%D8%AC%D9%8A%D8%A7%D9%84%D9%86%D8%A7-%D9%84%D9%84%D8%B4%D8%A8%D8%A7%D8%A8-%D8%B9%D8%A7%D9%84%D9%85-%D8%A7%D9%84%D9%86%D8%A8%D8%A7%D8%AA-%D9%88%D8%B7%D8%A8-%D8%A7%D9%84%D8%A7%D8%B9%D8%B4%D8%A7/2202304550/reviews,https://abjjadst.blob.core.windows.net/pub/2fe96334-1906-422e-9070-d5a2425498f9-192X290.jpg
502,ISBN 13 9789953305578,الموسوعة الشاملة في المعرفة والمعلومات: الفواكه والخضار,تأليف ناديا دياب (تأليف) محمد جمال أحمد قبيعة (ترجمة),"المؤلفون
2","أولادنا فضوليون بطبيعتهم، وهم بحاجة لإستكشاف كل ما يدور من حولهم، على أيّ حال، لا الأهل ولا المعلمون بارعون بما فيه الكفاية لتزويد هؤلاء اليَافِعِين بمعلوماتٍ شاملة حول المواضيع المختلفة التي تجذب إنتباهَهم.هنا يأتي دور الكتب التي تَعملُ كأداة فعَّالة لسَدَّ فراغات المعرفة لديهم، وذلك بتزويدهم بمعلومات شاملة عن المواضيع 
			ناديا دياب هي مؤلفة رائعة جدا لانها افت الكثير من الكتب التي اصدرته مكتبة لبنان ناشرون وانا أشكرها لانها ألفت قصة فار المدينة وفأر الريف لانه غلاف الكتاب جميل جدا وانا أشكرك جدا المختلفة.الموسوعة الشاملة في المعرفة والمعلومات، هي مجموعة زاخرة بالمعلومات والحقائق أتَت في أكثر من 100 مجلد مصوَّر، يغطي كُلاًّ منها مدخلاً كافٍ ووافٍ لحقلٍ معين من الحقول المتنوعة في الحياة.من مواضيعها: الحيوانات، التُّحف، الفنون، الفنّانون، النُّصب التذكاريّة، أشياء فوق العادة، شخصيات بارزة، جسم الإنسان، السيَّارات، القلاع والقصور، الزِّي الوطني، البلدان، الفولكلور والتراث الشعبي، وسائل النقل وأنواعها، الحكايات والقِصص المشهورة، المِهرجات، الأعلام، الزَّهور، الطائرات، الأحجار الكريمة والمجوهرات، الإكتشافات والإختراعات، الطَّوابع، العجائب، الأعشاب والتَّوابل، الحشرات، اللُّغات، الخِدع البصرية، النَّباتات الطبيَّة، الآلات الموسيقية، النجوم والكواكب، الكوارِث الطبيعية، الصُّحف، الفائزون بجائزة نُوبل، الجبال والبراكين، الألعاب والتسالي، التَّجارب العِلميَّة، عجائب الفضاء، الرِّياضة، وألعابها، محطمو الأرقام القياسية، الديناصورات، المِهَن، العَربات، الأسلحة، الحدائق الوطنية، وغيرها من المواضيع التي ستَجعل من هذه الموسوعة مَرجعاً شاملاً ورئيسياً في كلّ مدرسة، وبيت ومكتبة.",كتب أطفال كتب تعليمية زراعة وحيوان علم النبات مراجع موسوعات,,مراجعات,اقتباسات,القرّاء,107 صفحة,"طبعات
1",نشر سنة 2011,,https://www.abjjad.com/book/2202206471/%D8%A7%D9%84%D9%85%D9%88%D8%B3%D9%88%D8%B9%D8%A9-%D8%A7%D9%84%D8%B4%D8%A7%D9%85%D9%84%D8%A9-%D9%81%D9%8A-%D8%A7%D9%84%D9%85%D8%B9%D8%B1%D9%81%D8%A9-%D9%88%D8%A7%D9%84%D9%85%D8%B9%D9%84%D9%88%D9%85%D8%A7%D8%AA-%D8%A7%D9%84%D9%81%D9%88%D8%A7%D9%83/2202435855/reviews,https://abjjadst.blob.core.windows.net/pub/37076652-7965-4b33-947e-48ebb6c48147-192X290.jpg
503,ISBN 13 9789953305592,الموسوعة الشاملة في المعرفة والمعلومات: آكلة الحشرات,تأليف ناديا دياب (تأليف) محمد جمال أحمد قبيعة (ترجمة),"المؤلفون
2","أولادنا فضوليون بطبيعتهم، وهم بحاجة لإستكشاف كل ما يدور من حولهم، على أيّ حال، لا الأهل ولا المعلمون بارعون بما فيه الكفاية لتزويد هؤلاء اليَافِعين بمعلوماتٍ شاملة حول المواضيع المختلفة التي تجذب إنتباههم؛ هنا يأتي دور الكتب التي تَعملُ كأداة فعَّالة لسَدّ فراغات المعرفة لديهم، وذلك بتزويدهم بمعلومات شاملة عن 
			ناديا دياب هي مؤلفة رائعة جدا لانها افت الكثير من الكتب التي اصدرته مكتبة لبنان ناشرون وانا أشكرها لانها ألفت قصة فار المدينة وفأر الريف لانه غلاف الكتاب جميل جدا وانا أشكرك جدا المواضيع المختلفة.""الموسوعة الشاملة في المعرفة والمعلومات""، هي مَجْموعة زاخرة بالمعلومات والحقائق أتَت في أكثر مِن 100 مُجلَّد مُصَوَّر، يُغطّي كُلاًّ مِنها مدخلاً كافٍ ووافٍ لحقلٍ معيّن من الحقول المتنوعة في الحياة.من مواضيعها: الحيوانات، التُّحف، الفنون، الفنّانون، النُّصب التذكاريَّة، أشياء فوق العادة، شخصيات بارزة، جسم الإنسان، السيَّارات، القِلاع والقصور، الزِّي الوطني، البُلدان، الفولكلور والتراث الشعبي، وسائل النقل وأنواعها، الحِكايات والقِصص المشهورة، المِهرجانات، الأعلام، الزُّهور، الطَّائرات، الأحجار الكريمة والمجوهرات، الإكتشافات والإختراعات، الطَّوابِع، العجائب، الأعشاب والتَّوابل، الحشرات، اللُّغات، الخِدع البصرية، النَّباتات الطبيَّة، الآلات الموسيقية، النجوم والكواكب، الكوارِث الطبيعية، الصُّحف، الفائزون بجائزة نُوبِل، الجبال والبراكين، الألعاب والتسالي، التَّجارب العِلْميَّة، عجائب الفضاء، الرِّياضة وألعابها، محطمو الأرقام القياسية، الديناصورات، المِهَن، العَربات، الأسلِحة، الحدائق الوطنية، وغيرها من المواضيع التي سَتَجْعل مِن هذه المَوسوعة مَرجعاً شاملاً ورئيسياً في كلّ مَدرسة، وبَيْت ومكتبة.",كتب أطفال كتب تعليمية زراعة وحيوان علم الحيوان مراجع موسوعات,,مراجعات,اقتباسات,القرّاء,109 صفحة,"طبعات
1",نشر سنة 2011,,https://www.abjjad.com/book/2202206892/%D8%A7%D9%84%D9%85%D9%88%D8%B3%D9%88%D8%B9%D8%A9-%D8%A7%D9%84%D8%B4%D8%A7%D9%85%D9%84%D8%A9-%D9%81%D9%8A-%D8%A7%D9%84%D9%85%D8%B9%D8%B1%D9%81%D8%A9-%D9%88%D8%A7%D9%84%D9%85%D8%B9%D9%84%D9%88%D9%85%D8%A7%D8%AA-%D8%A7%D9%83%D9%84%D8%A9-%D8%A7/2202436277/reviews,https://abjjadst.blob.core.windows.net/pub/ba99d295-2aef-40bd-a4ea-560e0055aa1d-192X290.jpg
504,الاتحاد الدولي لحركات الزراعة العضوية,المقاييس الأساسية للانتاج والتصنيع العضويين,تأليف مجموعة من الاختصاصيين (تأليف),"المؤلفون
1", ,زراعة وحيوان عام,,مراجعات,اقتباسات,القرّاء,64 صفحة,"طبعات
1",نشر سنة 2000,,https://www.abjjad.com/book/2202206972/%D8%A7%D9%84%D9%85%D9%82%D8%A7%D9%8A%D9%8A%D8%B3-%D8%A7%D9%84%D8%A7%D8%B3%D8%A7%D8%B3%D9%8A%D8%A9-%D9%84%D9%84%D8%A7%D9%86%D8%AA%D8%A7%D8%AC-%D9%88%D8%A7%D9%84%D8%AA%D8%B5%D9%86%D9%8A%D8%B9-%D8%A7%D9%84%D8%B9%D8%B6%D9%88%D9%8A%D9%8A%D9%86/2202436357/reviews,https://abjjadst.blob.core.windows.net/pub/66c3793b-cd08-4e73-90d9-4b3f9a6e88ef-192X290.png
505,ISBN 13 9789953305639,الموسوعة الشاملة في المعرفة والمعلومات: الثدييات وأشكالها,تأليف ناديا دياب (تأليف) محمد جمال أحمد قبيعة (ترجمة),"المؤلفون
2","أولادنا فضوليون بطبيعتهم، وهم بحاجة لإستكشاف كل ما يدور من حولهم؛ على أي حال، لا الأهل ولا المعلمون بارعون بما فيه الكفاية لتزويد هؤلاء اليَافِعين بمعلوماتٍ شاملة حول المواضيع المختلفة التي تجذب إنتباهَهم.هنا يأتي دور الكتب التي تَعْملُ كأداة فعّالة لسَدّ فراغات المعرفة لديهم، وذلك بتزويدهم بمعلومات شاملة عن المواضيع 
			ناديا دياب هي مؤلفة رائعة جدا لانها افت الكثير من الكتب التي اصدرته مكتبة لبنان ناشرون وانا أشكرها لانها ألفت قصة فار المدينة وفأر الريف لانه غلاف الكتاب جميل جدا وانا أشكرك جدا المختلفة.الموسوعة الشاملة في المعرفة والمعلومات، هي مجموعة زاخرة بالمعلومات والحقائق أتَت في أكثر من 100 مجلَّد مصوَّر، يُغطَي كلاَّ منها مدخلاً كافٍ ووافٍ لحقلٍ معين من الحقول المتنوعة في الحياة.من مواضيعها: التَّحف، الفنون، الفنّانون، النُّصب التذكاريَّة، أشياء فوق العادة، شخصيات بارزة، جسم الإنسان، السيَّارات، القِلاع والقصور، الزَّي الوطني، البُلدان، الفولكلور والتراث الشعبي، وسائل النقل وأنواعها، الحِكايات والقِصص المشهورة، المهرجانات، الأعلام، الزُّهور، الطَّائرات، الأحجار الكريمة والمجوهرات، الإكتشافات والإختراعات، الطَّوابع، العجائب، الأعشاب والتَّوابل، الحشرات، اللُّغات، الخِدع البصرية، النَّباتات الطبيَّة، الآلات الموسيقية، النجوم والكواكب، الكوارِث الطبيعية، الصِّحف، الفائزون، بجائزة نُوبِل، الجبال والبراكين، الألعاب والتسالي، التَّجارب العِلْميَّة، عجائب الفضاء، الرِّياضة وألعابها، محطمو الأرقام القياسية، الديناصورات، المِهَن، العَربات، الأسلِحة، الحدائق الوطنية، وغيرها من المواضيع التي ستَجعل من هذه الموسوعة مرجعاً شاملاً ورئيسياً في كل مدرسة، وبَيْت ومكتبة.",كتب أطفال كتب تعليمية زراعة وحيوان علم الحيوان مراجع موسوعات,,مراجعات,اقتباسات,القرّاء,107 صفحة,"طبعات
1",نشر سنة 2011,,https://www.abjjad.com/book/2202238987/%D8%A7%D9%84%D9%85%D9%88%D8%B3%D9%88%D8%B9%D8%A9-%D8%A7%D9%84%D8%B4%D8%A7%D9%85%D9%84%D8%A9-%D9%81%D9%8A-%D8%A7%D9%84%D9%85%D8%B9%D8%B1%D9%81%D8%A9-%D9%88%D8%A7%D9%84%D9%85%D8%B9%D9%84%D9%88%D9%85%D8%A7%D8%AA-%D8%A7%D9%84%D8%AB%D8%AF%D9%8A%D9%8A/2202468363/reviews,https://abjjadst.blob.core.windows.net/pub/78294108-84f1-4339-b7d2-5e99ed7ddb0d-192X290.jpg
506,ISBN 13 9789953305394,الموسوعة الشاملة في المعرفة والمعلومات: البق والخنافس,تأليف ناديا دياب (تأليف) محمد جمال أحمد قبيعة (ترجمة),"المؤلفون
2","أولادنا فضوليون بطبيعتهم، وهم بحاجة لإستكشاف كل ما يدور من حولهم؛ على أي حال، لا الأهل ولا المعلمون بارعون بما فيه الكفاية لتزويد هؤلاء اليَافِعين بمعلوماتٍ شاملة حول المواضيع المختلفة التي تجذب إنتباهَهم.هنا يأتي دور الكتب التي تَعْملُ كأداة فعّالة لسَدّ فراغات المعرفة لديهم، وذلك بتزويدهم بمعلومات شاملة عن المواضيع 
			ناديا دياب هي مؤلفة رائعة جدا لانها افت الكثير من الكتب التي اصدرته مكتبة لبنان ناشرون وانا أشكرها لانها ألفت قصة فار المدينة وفأر الريف لانه غلاف الكتاب جميل جدا وانا أشكرك جدا المختلفة.الموسوعة الشاملة في المعرفة والمعلومات، هي مجموعة زاخرة بالمعلومات والحقائق أتَت في أكثر من 100 مجلَّد مصوَّر، يُغطَي كلاَّ منها مدخلاً كافٍ ووافٍ لحقلٍ معين من الحقول المتنوعة في الحياة.من مواضيعها: التَّحف، الفنون، الفنّانون، النُّصب التذكاريَّة، أشياء فوق العادة، شخصيات بارزة، جسم الإنسان، السيَّارات، القِلاع والقصور، الزَّي الوطني، البُلدان، الفولكلور والتراث الشعبي، وسائل النقل وأنواعها، الحِكايات والقِصص المشهورة، المهرجانات، الأعلام، الزُّهور، الطَّائرات، الأحجار الكريمة والمجوهرات، الإكتشافات والإختراعات، الطَّوابع، العجائب، الأعشاب والتَّوابل، الحشرات، اللُّغات، الخِدع البصرية، النَّباتات الطبيَّة، الآلات الموسيقية، النجوم والكواكب، الكوارِث الطبيعية، الصِّحف، الفائزون، بجائزة نُوبِل، الجبال والبراكين، الألعاب والتسالي، التَّجارب العِلْميَّة، عجائب الفضاء، الرِّياضة وألعابها، محطمو الأرقام القياسية، الديناصورات، المِهَن، العَربات، الأسلِحة، الحدائق الوطنية، وغيرها من المواضيع التي ستَجعل من هذه الموسوعة مرجعاً شاملاً ورئيسياً في كل مدرسة، وبَيْت ومكتبة.",كتب أطفال كتب تعليمية زراعة وحيوان علم الحيوان مراجع موسوعات,,مراجعات,اقتباسات,القرّاء,107 صفحة,"طبعات
1",نشر سنة 2011,,https://www.abjjad.com/book/2202238991/%D8%A7%D9%84%D9%85%D9%88%D8%B3%D9%88%D8%B9%D8%A9-%D8%A7%D9%84%D8%B4%D8%A7%D9%85%D9%84%D8%A9-%D9%81%D9%8A-%D8%A7%D9%84%D9%85%D8%B9%D8%B1%D9%81%D8%A9-%D9%88%D8%A7%D9%84%D9%85%D8%B9%D9%84%D9%88%D9%85%D8%A7%D8%AA-%D8%A7%D9%84%D8%A8%D9%82-%D9%88/2202468367/reviews,https://abjjadst.blob.core.windows.net/pub/74b00e5e-6c3f-4548-a6b5-a1ae10514b84-192X290.jpg
507,ISBN 13 9789953306001,الموسوعة الشاملة في المعرفة والمعلومات: العناكب والخنافس,تأليف ناديا دياب (تأليف) محمد جمال أحمد قبيعة (ترجمة),"المؤلفون
2","أولادنا فضوليون بطبيعتهم، وهم بحاجة لإستكشاف كل ما يدور من حولهم، على أيّ حال، لا الأهل ولا المعلمون بارعون بما فيه الكفاية لتزويد هؤلاء اليَافِعِين بمعلوماتٍ شاملة حول المواضيع المختلفة التي تجذب إنتباهَهم.هنا يأتي دور الكتب التي تَعملُ كأداة فعَّالة لسَدَّ فراغات المعرفة لديهم، وذلك بتزويدهم بمعلومات شاملة عن المواضيع 
			ناديا دياب هي مؤلفة رائعة جدا لانها افت الكثير من الكتب التي اصدرته مكتبة لبنان ناشرون وانا أشكرها لانها ألفت قصة فار المدينة وفأر الريف لانه غلاف الكتاب جميل جدا وانا أشكرك جدا المختلفة.الموسوعة الشاملة في المعرفة والمعلومات، هي مجموعة زاخرة بالمعلومات والحقائق أتَت في أكثر من 100 مجلد مصوَّر، يغطي كُلاًّ منها مدخلاً كافٍ ووافٍ لحقلٍ معين من الحقول المتنوعة في الحياة.من مواضيعها: الحيوانات، التُّحف، الفنون، الفنّانون، النُّصب التذكاريّة، أشياء فوق العادة، شخصيات بارزة، جسم الإنسان، السيَّارات، القلاع والقصور، الزِّي الوطني، البلدان، الفولكلور والتراث الشعبي، وسائل النقل وأنواعها، الحكايات والقِصص المشهورة، المِهرجات، الأعلام، الزَّهور، الطائرات، الأحجار الكريمة والمجوهرات، الإكتشافات والإختراعات، الطَّوابع، العجائب، الأعشاب والتَّوابل، الحشرات، اللُّغات، الخِدع البصرية، النَّباتات الطبيَّة، الآلات الموسيقية، النجوم والكواكب، الكوارِث الطبيعية، الصُّحف، الفائزون بجائزة نُوبل، الجبال والبراكين، الألعاب والتسالي، التَّجارب العِلميَّة، عجائب الفضاء، الرِّياضة، وألعابها، محطمو الأرقام القياسية، الديناصورات، المِهَن، العَربات، الأسلحة، الحدائق الوطنية، وغيرها من المواضيع التي ستَجعل من هذه الموسوعة مَرجعاً شاملاً ورئيسياً في كلّ مدرسة، وبيت ومكتبة.",كتب أطفال كتب تعليمية زراعة وحيوان علم الحيوان مراجع موسوعات,,مراجعات,اقتباسات,القرّاء,107 صفحة,"طبعات
1",نشر سنة 2011,,https://www.abjjad.com/book/2202239344/%D8%A7%D9%84%D9%85%D9%88%D8%B3%D9%88%D8%B9%D8%A9-%D8%A7%D9%84%D8%B4%D8%A7%D9%85%D9%84%D8%A9-%D9%81%D9%8A-%D8%A7%D9%84%D9%85%D8%B9%D8%B1%D9%81%D8%A9-%D9%88%D8%A7%D9%84%D9%85%D8%B9%D9%84%D9%88%D9%85%D8%A7%D8%AA-%D8%A7%D9%84%D8%B9%D9%86%D8%A7%D9%83/2202468723/reviews,https://abjjadst.blob.core.windows.net/pub/c82a8420-2cff-4cab-8344-a417203eaa00-192X290.jpg
508,ISBN 13 9789953305608,الموسوعة الشاملة في المعرفة والمعلومات: الحشرات وأنواعها,تأليف ناديا دياب (تأليف) محمد جمال أحمد قبيعة (ترجمة),"المؤلفون
2","أولادنا فضوليون بطبيعتهم، وهم بحاجة لإستكشاف كل ما يدور من حولهم؛ على أي حال، لا الأهل ولا المعلمون بارعون بما فيه الكفاية لتزويد هؤلاء اليَافِعين بمعلوماتٍ شاملة حول المواضيع المختلفة التي تجذب إنتباهَهم.هنا يأتي دور الكتب التي تَعْملُ كأداة فعّالة لسَدّ فراغات المعرفة لديهم، وذلك بتزويدهم بمعلومات شاملة عن المواضيع 
			ناديا دياب هي مؤلفة رائعة جدا لانها افت الكثير من الكتب التي اصدرته مكتبة لبنان ناشرون وانا أشكرها لانها ألفت قصة فار المدينة وفأر الريف لانه غلاف الكتاب جميل جدا وانا أشكرك جدا المختلفة.الموسوعة الشاملة في المعرفة والمعلومات، هي مجموعة زاخرة بالمعلومات والحقائق أتَت في أكثر من 100 مجلَّد مصوَّر، يُغطَي كلاَّ منها مدخلاً كافٍ ووافٍ لحقلٍ معين من الحقول المتنوعة في الحياة.من مواضيعها: التَّحف، الفنون، الفنّانون، النُّصب التذكاريَّة، أشياء فوق العادة، شخصيات بارزة، جسم الإنسان، السيَّارات، القِلاع والقصور، الزَّي الوطني، البُلدان، الفولكلور والتراث الشعبي، وسائل النقل وأنواعها، الحِكايات والقِصص المشهورة، المهرجانات، الأعلام، الزُّهور، الطَّائرات، الأحجار الكريمة والمجوهرات، الإكتشافات والإختراعات، الطَّوابع، العجائب، الأعشاب والتَّوابل، الحشرات، اللُّغات، الخِدع البصرية، النَّباتات الطبيَّة، الآلات الموسيقية، النجوم والكواكب، الكوارِث الطبيعية، الصِّحف، الفائزون، بجائزة نُوبِل، الجبال والبراكين، الألعاب والتسالي، التَّجارب العِلْميَّة، عجائب الفضاء، الرِّياضة وألعابها، محطمو الأرقام القياسية، الديناصورات، المِهَن، العَربات، الأسلِحة، الحدائق الوطنية، وغيرها من المواضيع التي ستَجعل من هذه الموسوعة مرجعاً شاملاً ورئيسياً في كل مدرسة، وبَيْت ومكتبة.",كتب أطفال كتب تعليمية زراعة وحيوان علم الحيوان مراجع موسوعات,,مراجعات,اقتباسات,القرّاء,107 صفحة,"طبعات
1",نشر سنة 2011,,https://www.abjjad.com/book/2202271751/%D8%A7%D9%84%D9%85%D9%88%D8%B3%D9%88%D8%B9%D8%A9-%D8%A7%D9%84%D8%B4%D8%A7%D9%85%D9%84%D8%A9-%D9%81%D9%8A-%D8%A7%D9%84%D9%85%D8%B9%D8%B1%D9%81%D8%A9-%D9%88%D8%A7%D9%84%D9%85%D8%B9%D9%84%D9%88%D9%85%D8%A7%D8%AA-%D8%A7%D9%84%D8%AD%D8%B4%D8%B1%D8%A7/2202501129/reviews,https://abjjadst.blob.core.windows.net/pub/fcd93a5c-0b55-4e2a-8d76-3cbfdac82b08-192X290.jpg
509,ISBN 13 9789953305370,الموسوعة الشاملة في المعرفة والمعلومات: الطيور والعصافير,تأليف ناديا دياب (تأليف) محمد جمال أحمد قبيعة (ترجمة),"المؤلفون
2","أولادنا فضوليون بطبيعتهم، وهم بحاجة لإستكشاف كل ما يدور من حولهم، على أيّ حال، لا الأهل ولا المعلمون بارعون بما فيه الكفاية لتزويد هؤلاء اليَافِعِين بمعلوماتٍ شاملة حول المواضيع المختلفة التي تجذب إنتباهَهم.هنا يأتي دور الكتب التي تَعملُ كأداة فعَّالة لسَدَّ فراغات المعرفة لديهم، وذلك بتزويدهم بمعلومات شاملة عن المواضيع 
			ناديا دياب هي مؤلفة رائعة جدا لانها افت الكثير من الكتب التي اصدرته مكتبة لبنان ناشرون وانا أشكرها لانها ألفت قصة فار المدينة وفأر الريف لانه غلاف الكتاب جميل جدا وانا أشكرك جدا المختلفة.الموسوعة الشاملة في المعرفة والمعلومات، هي مجموعة زاخرة بالمعلومات والحقائق أتَت في أكثر من 100 مجلد مصوَّر، يغطي كُلاًّ منها مدخلاً كافٍ ووافٍ لحقلٍ معين من الحقول المتنوعة في الحياة.من مواضيعها: الحيوانات، التُّحف، الفنون، الفنّانون، النُّصب التذكاريّة، أشياء فوق العادة، شخصيات بارزة، جسم الإنسان، السيَّارات، القلاع والقصور، الزِّي الوطني، البلدان، الفولكلور والتراث الشعبي، وسائل النقل وأنواعها، الحكايات والقِصص المشهورة، المِهرجات، الأعلام، الزَّهور، الطائرات، الأحجار الكريمة والمجوهرات، الإكتشافات والإختراعات، الطَّوابع، العجائب، الأعشاب والتَّوابل، الحشرات، اللُّغات، الخِدع البصرية، النَّباتات الطبيَّة، الآلات الموسيقية، النجوم والكواكب، الكوارِث الطبيعية، الصُّحف، الفائزون بجائزة نُوبل، الجبال والبراكين، الألعاب والتسالي، التَّجارب العِلميَّة، عجائب الفضاء، الرِّياضة، وألعابها، محطمو الأرقام القياسية، الديناصورات، المِهَن، العَربات، الأسلحة، الحدائق الوطنية، وغيرها من المواضيع التي ستَجعل من هذه الموسوعة مَرجعاً شاملاً ورئيسياً في كلّ مدرسة، وبيت ومكتبة.",كتب أطفال كتب تعليمية زراعة وحيوان علم الحيوان مراجع موسوعات,,مراجعات,اقتباسات,القرّاء,107 صفحة,"طبعات
1",نشر سنة 2011,,https://www.abjjad.com/book/2202272157/%D8%A7%D9%84%D9%85%D9%88%D8%B3%D9%88%D8%B9%D8%A9-%D8%A7%D9%84%D8%B4%D8%A7%D9%85%D9%84%D8%A9-%D9%81%D9%8A-%D8%A7%D9%84%D9%85%D8%B9%D8%B1%D9%81%D8%A9-%D9%88%D8%A7%D9%84%D9%85%D8%B9%D9%84%D9%88%D9%85%D8%A7%D8%AA-%D8%A7%D9%84%D8%B7%D9%8A%D9%88%D8%B1/2202501542/reviews,https://abjjadst.blob.core.windows.net/pub/fd70dd48-e571-49cd-9bd2-9cdb1a2f9b14-192X290.jpg
510,,رحلة الى عالم الفاكهة,تأليف عماد الدين حسين (تأليف),"المؤلفون
1", ,زراعة وحيوان علم النبات,,مراجعات,اقتباسات,القرّاء,مكتبة ابن سينا - القاهرة,"طبعات
1",نشر سنة 1905,,https://www.abjjad.com/book/2208301426/%D8%B1%D8%AD%D9%84%D8%A9-%D8%A7%D9%84%D9%89-%D8%B9%D8%A7%D9%84%D9%85-%D8%A7%D9%84%D9%81%D8%A7%D9%83%D9%87%D8%A9/2208530804/reviews,https://www.abjjad.com/images/ubook.jpg
