,ISBN,Title,Author,Authors_Number,Description,Genres,Average_Ratings,Reviews_Number,Quotes_Number,Community_Size,Pages_Number,Editions,Publication_Year,Publisher,URL,Cover_URL
551,ISBN 13 9789953895048,قصر الحلوى,تأليف إليف شافاق (تأليف) محمد درويش (ترجمة),"المؤلفون
2","قصر الحلوى: مبنًى أهداه مهاجرٌ أرستقراطيٌّ روسيٌّ لحبيبةِ قلبه.في المبنى تناقضاتُ المجتمع الإسطنبولي وتوتُّراتُه ـــــــــ من مهاجرين، وأقلِّيَّات، ومهمَّشين، ومجانين: أستاذ جامعيّ؛ توأمان يديران صالونَ حلاقة؛ رجلٌ تقيٌّ مع زوجة ابنه وأحفاده؛ امرأةٌ مهووسةٌ بالنظافة وابنتُها المُقمَّلة؛ و""العشيقة الزرقاء""...لكنّ رواية ""قصر الحلوى"" هي، قبل كلّ شيء، روايةٌ عن الظلم الاجتماعيّ، 			روائية تركية تكتب باللغتين التركية والانجليزية.ولدت إليف بيلغين في ستراسبورغ لوالدين هما الفيلسوف نوري بيلغين وشفق أتيمان التي أصبحت دبلوماسية فيما بعد. انفصل والدها عندما كان عمرها عامًا واحدًا فربتها أمها.حصلت روايتها الأولى Pinhan (أي الصوفي) على جائزة رومي لأفضل عمل أدبي في تركيا عام 1998. أما روايتها الثانية Şehrin وعن الخوف من ضياع الهويّة، وهيمنةِ القدر على مصائر الشخصيّات، ولعبةِ الحبّ الذي حَكَمتْ عليه النفوسُ الحائرةُ بالموت.أليف شافاك أفضلُ مَن كَتَبَ الروايات في تركيا في هذا العقد. (أورهان باموك)	 Aynaları (أي مرايا المدينة) فتتطرق إلى التصوف عند المسلمين واليهود في خلفية بحر متوسطية في القرن السابع عشر. وحصلت روايتها Mahrem (أي النظرة العميقة) على جائزة اتحاد الكتاب التركيين عام 2000. وحققت روايتها التالية Bit Palas (أي قصر البرغوث) أعلى مبيعات في تركيا، وتبعها كتاب Med-Cezir (أي المد والجزر) وتناقش فيه قضايا حول مكانة المرأة والرجل والجنس والذهن والأدب.في عام 2006 أصدرت رواية The Bastard of Istanbul (أي لقيطة إسطنبول) باللغة الإنجليزية وحققت أعلى المبيعات في تركيا. وتعرض شفق في هذه الرواية -بين قضايا أخرى- لقضية الأرمن، وقد أدى هذا إلى ملاحقتها قضائيًا في تركيا بحسب الفقرة 301 من القانون",أدب روايات أدب أدب مترجم,2.8,"مراجعات
2",اقتباسات,"القرّاء
200",875 صفحة,"طبعات
1",نشر سنة 2016,دار الآداب,https://www.abjjad.com/book/2614755461/%D9%82%D8%B5%D8%B1-%D8%A7%D9%84%D8%AD%D9%84%D9%88%D9%89/2615050373/reviews,https://abjjadst.blob.core.windows.net/pub/6785a5b3-0c2b-4be5-baf0-3d6e70e0e949-192X290.png
552,ISBN 13 9789777641499,رؤوس الشياطين,تأليف أيمن العتوم (تأليف),"المؤلفون
1","رواية غير اعتيادية على الإطلاق.  لأول مرة أيمن العتوم يضع قلمه على طاولة الطبيب النفسي ليكشف عن صراع الشخصيات بداخله.  فهل يكشف الطبيب عن كاتب مجنون ، أم أن الكاتب سيفلح في الولوج إلى عقل الطبيب وما يدور في رؤوس الشياطين. تعد  هذه الرواية:- وجبة قصيرة دسمة؛ 			أيمن العتوم شاعر وروائي أردنيّ ولد في ( الأردن - جرش سوف 2 آذار 1972 ) , تلقّى تعليمه الثانوي في دولة الإمارات العربية المتحدة - إمارة عجمان والتحق بـجامعة العلوم والتكنولوجيا الأردنية ليتحصل على بكالوريوس الهندسة المدنية فيها عام 1997 وفي عام 1999 تخرّج في جامعة اليرموك بشهادة بكالوريوس فعدد صفحاتها (١٩٩) صفحة؛ وهي أقل روايات أيمن العتوم في عدد صفحاتها.- مشاهد مُكثّفة، سريعة الانتقال، عميقة الأثر العاطفي.- تتحدّث عن طبيب عبقريّ يتناهشه عددٌ من الأمراض؛ بعضُها يمرّ به أكثرُنا، وربّما تقول وأنت تقرؤها: هذه الشخصيّة تتحدّث عنّي، هذا أنا.- تجعلك تتساءل: هل هذا الذي وقع فيه البطل هو مرض؟ لقد وقعتُ فيما وقع فيه تمامًا ولم أكن أعرف!- واقعية في تناولها وطرحها؛ تبحث عن سبب المشكلة أكثر مِمّا تقدّم حَلاًّ.- تطرح عددًا من الأسئلة الوجودية والهواجس الإنسانية المَرَضيّة عن الحياة والموت والنجاح والإخفاق، ومحاولة فَهم تناقضات النفس البشريّة.- تحاول الإجابة عن سؤال: هل يعرف المريض النفسيّ أنه مريض؟- مختلفة عن روايات أيمن العتوم السابقة كلّها؛ فبعد أدب السجون وأدب الحرب وأدب الملاحم التاريخية؛ تأتي هذه ضمن روايات الأمراض النفسية.- تعتمد على البحث الذّاتي للبطل عن حلّ لمشكلته مع وعيه التّام بجوانب تلك المشكلة أو المصيبة.- تعتمد على فكرة: الحلّ هنا، ولكنّني بحثتُ عنه هُناك!- تجارب البطل وتجاوبه مع الأديان والأفكار والمُعتقدات تكون جزءًا من الحل والمشكلة معًا؛ وهذا هو قمّة المفارقة في سلوك البطل.أمّا اللغة والسرد والوصف مع كل هذا التناقض الظاهر؛ فهي لغة أيمن العتوم وسردُه ووصفُه!	 لغة عربية , ثمّ التحق بالجامعة الأردنية ليُكمل مرحلة الدراسات العليا في اللغة العربية وحصل على شهادتي الماجستير والدكتوراة في اللغة العربية تخصص نَحو ولغة عامي 2004 و 2007 , اشتُهر بروايته يا صاحِبَي السّجن التي صدرت عام 2012 وتعبّر عن تجربة شخصيّة للكاتب في السجون الأردنية خلال عامَي 1996 و 1997 كمعتقل سياسي . كما له دواوين شعريّة عديدة أحدثها (خذني إلى المسجد الأقصى)..من مؤلفاته - الدّواوين:1. قلبي عليك حبيبتي، 1999م.2. القمر المسافر، 1998م.3. المشارق، 1997م.4. الزنابق، 1996م.5. البيارق، 1995م.6. بوارق الفجر ، 1989م.- المسرحيّات:1. مسرحية (المشرّدون) ، عام 1989م.2. مسرحية (مملكة الشّعر) ، عام 2002م.- الروايات:يا وجه ميسون،",أدب روايات كتب أيمن العتوم كتب أيمن العتوم,4.4,"مراجعات
6","اقتباسات
20","القرّاء
201",265 صفحة,"طبعات
2",نشر سنة 2020,نشر إلكتروني ذاتي - أيمن العتوم,https://www.abjjad.com/book/2734292993/%D8%B1%D9%88%D9%88%D8%B3-%D8%A7%D9%84%D8%B4%D9%8A%D8%A7%D8%B7%D9%8A%D9%86/2736422913/reviews,https://abjjadst.blob.core.windows.net/pub/cc806726-443c-4794-9d52-a617f61e27df-192X290.png
553,ISBN 13 9789778200164,حظك اليوم,تأليف أحمد خالد توفيق (تأليف),"المؤلفون
1","اثنا عشر برجا
اثنتا عشرة طريقة للموت
ولعنة تطاردك في كل صوب
تمر بالأطوار المعتادة: في البداية انت لا تعرف ... بعد
هذا انت لا تلاحظ ... ثم تلاحظ فلا تصدق ... ثم تصدق
فلا تعرف ما ينبغى عمله


يقول الغربيون انك لا يمكن نا تكون حذرا اكثر من اللازم, وهذه القصص تطبيق عملي صادق لصحة هذه المقولة
				هو طبيب وأديب مصري، ويعتبر من أشهر الكتاب في مجال أدب الرعب وأدب الشباب. ولد في مدينة طنطا عاصمة محافظة الغربية في مصر. متزوج وأب لطفلين هما محمد (12 سنة) ومريم (8 سنوات).تخرج أحمد خالد توفيق في كلية الطب في جامعة طنطا عام 1985 م وحصل على الدكتوراه في طب المناطق الحارة عام 1997 م.  يقدم أحمد خالد توفيق ستة سلاسل للروايات وصلت إلى ما يقرب من 236 عددا، وقد قام بترجمة عدد من الروايات الأجنبية ضمن سلسلة روايات عالمية للجيب. كما قدّم الترجمة العربية الوحيدة لرواية نادي القتال (fight club) للروائي الأمريكي تشاك بولانيك. كما أن له بعض التجارب الشعرية.وتُوفى إلى رحمة الله تعالى عن عمر يناهز 55 عامًا أثر أزمة صحية ألمت به(عليه رحمة الله تعالى وأسكنه الله فسيح جناته وأبدله سيئاته حسنات إن شاء الله)",أدب قصص أدب أدب ساخر غرائب وأساطير تنبؤات,3.9,"مراجعات
12","اقتباسات
14","القرّاء
199",136 صفحة,"طبعات
2",نشر سنة 2018,كيان للنشر والتوزيع,https://www.abjjad.com/book/2111209472/%D8%AD%D8%B8%D9%83-%D8%A7%D9%84%D9%8A%D9%88%D9%85/2718957568/reviews,https://abjjadst.blob.core.windows.net/pub/583ccf30-81d3-4c11-a4ce-042ab5c8d4d3-192X290.png
554,ISBN 13 9789963610846,القبعة والنبي,تأليف غسان كنفاني (تأليف),"المؤلفون
1","أنجز كنفاني كتابة هذه المسرحية في بدايات عام 1967، غير أن ""القبعة والنبي"" لم تعرف طريقها إلى النشر إلا عام 1973، أي بعد استشهاد غسان كنفاني بحوالي تسعة أشهر، إذ نشرت، للمرة الأولى في مجلة ""شؤون فلسطينية""، نيسان 1973.""القبعة والنبي""، هي محاولة كنفاني المسرحية الثانية بعد ""الباب""، وسوف نلاحظ هنا 			روائي وقاص وصحفي فلسطيني تم اغتياله على يد جهاز المخابرات الإسرائيلية (الموساد) في 8 يوليو 1972 عندما كان عمره 36 عاما بتفجير سيارته في منطقة الحازمية قرب بيروت. كتب بشكل أساسي بمواضيع التحرر الفلسطيني، وهو عضو المكتب السياسي الجبهة الشعبية لتحرير فلسطين. في عام 1948 أجبر وعائلته على النزوح فعاش هاجساً مسرحياً تشكيلياً، يقوم على لعبة قفص الاتهام الذي يتحرك ليضم المُتهم مرةً والقضاة في مرة ثانية، وقد يمتد ليشمل جمهور المسرحية المفترض.من يتهم من؟ أم أن الجميع متهمون، وهذا ""الشيء"" القادم من عالم آخر ليس قبعة أو نبياً، إنه العنصر الذي يعلن استحالة علاقة القاضي-ـ المتهم، فالجميع قتلة وأبرياء في الآن نفسه، لأن الأساسي هو السؤال عن الجدوى.	 في سوريا كلاجئ فلسطيني ثم في لبنان حيث حصل على الجنسية اللبنانية. أكمل دراسته الثانوية في دمشق وحصل على شهادة البكالوريا السورية عام 1952. في ذات العام تسجّل في كلية الأدب العربي في جامعة دمشق ولكنه انقطع عن الدراسة في نهاية السنة الثانية، انضم إلى حركة القوميين العرب التي ضمه إليها جورج حبش لدى لقائهما عام 1953. ذهب إلى الكويت حيث عمل في التدريس الابتدائي، ثم انتقل إلى بيروت للعمل في مجلة الحرية (1961) التي كانت تنطق باسم الحركة مسؤولا عن القسم الثقافي فيها، ثم أصبح رئيس تحرير جريدة (المحرر) اللبنانية، وأصدر فيها(ملحق فلسطين) ثم انتقل للعمل في جريدة الأنوار",أدب دراسات أدبية كتب غسّان كنفاني كتب غسّان كنفاني,3.8,"مراجعات
8","اقتباسات
7","القرّاء
198",96 صفحة,"طبعات
2",نشر سنة 2013,منشورات الرمال,https://www.abjjad.com/book/15445166/%D8%A7%D9%84%D9%82%D8%A8%D8%B9%D8%A9-%D9%88%D8%A7%D9%84%D9%86%D8%A8%D9%8A/2576646150/reviews,https://abjjadst.blob.core.windows.net/pub/4029892d-37a5-419b-b5be-c072c005e015-192X290.png
555,ISBN 13 9789953369358,أبو شلاخ البرمائي,تأليف غازي القصيبي (تأليف),"المؤلفون
1","هو هكذا دائماً وأبداً، القصيبي، مسافر زاده الخيال، وقدرةٌ حوارية ينطلق من خلالها إلى أرجاء وتخوم وأزمنة لا تعرف حدوداً، والمرشد في رحلاته فكرٌ وعى التاريخ والجغرافية والاجتماعات والدبلوماسيات والقهريات والتداعيات وقبل كل شيء العربيات كعلوم قوامها واقع معاش في ظل الهيمنات المتعددة الوجوه والممتدة ظلالها من الأزل من بدء 			شاعر وأديب وسفير دبلوماسي ووزير سعودي. قضى في الأحساء سنوات عمره الأولى، ثم انتقل بعدها إلى المنامة بالبحرين ليدرس فيها مراحل التعليم. نال ليسانس الحقوق من جامعة القاهرة ثم تحصل على درجة الماجستير في العلاقات الدولية من جامعة جنوب كاليفورنيا التي لم يكن يريد الدراسة بها, بل كان يريد دراسة التاريخ المحدد بالتقويم الهجري أو الميلادي أو الفارسي أو اليهودي.ينطلق القصيبي بتلقائية وبحرية لا حدود لها، من خلال منولوجات وحوارات يستنطق محاوره، ليجري على لسانه ما يعتلج في داخله من هموم وقضايا. وأبو شلاخ يمضي في سرد أحاديثه ومذكراته مع بدايات نبوغه ثم مرحلة الصمود والتصدي ووديعة روزفلت، وامبراطورية ""أم سبعة التجارية"" ونساوين في حياته ليصل إلى رحلته الغريبة حول العالم واكتشافه الجوانب المتعددة من القمر، يجول المحاور يعقوب المنضّح الشهير بأبو شلاخ البرمائي الدنيا شرقاً وغرباً شمالاً وجنوباً يقابل هتلر، روزفلت، أيزنهاور ماوتس تونغ، يزيح الستار عن أسرار مضت وعن أحداث ووقائع ورجال ونساء، وكما يجول في المكان، يجول أبو شلاخ البرمائي في الزمان مجتازاً مراحل بداية الإنسان مع وسيلة تنقله، الحجار، وصولاً إلى الطائرات والصواريخ والانترنت.والقصيبي من خلاله يبوح بكل المحظورات، سياسية، أدبية، اجتماعية، لأنه يحق للشاعر ما لا يحق لغيره، شخصياته رموز، وعباراته رموز، ورموزه لا كغيرها من الرموز، وفلسفة الحياة، وفلسفة المعاش، وفلسفة الواقع، والواقع بفلسفته الآنية كل ذلك يمر بخفة من خلال سطور القصيبي الناطقة بالسخرية اللاذعة التي تثير مكامن وجع العربي، ووجع الإنسان حيناً لتند عنه بسمات وقهقهات أحاييناً أخرى، ولما لا، فالقصيبي يضحك مذبوحاً من الألم.	 ""القانون الدولي"" في جامعة أخرى من جامعات أمريكا، وبالفعل، حصل على عدد من القبولات في جامعات عدة، ولكن لمرض أخيه نبيل، اضطر إلى الانتقال إلى جواره والدراسة في جنوب كاليفورنيا، وبالتحديد في لوس أنجلوس، ولم يجد التخصص المطلوب فيها، فاضطر إلى دراسة ""العلاقات الدولية"" أما الدكتوراة ففي العلاقات الدولية من جامعة لندن والتي كانت رسالتها فيها حول اليمن كما أوضح ذلك في كتابه الشهير ""حياةٌ في الإدارة"". القصيبي شاعر له إنتاجات في فن الرواية والقصة، مثل شقة الحرية ودنسكو وأبو شلاخ البرمائي والعصفورية و""سبعة"" وسعادة السفير و""لجنيّة، آخر أعماله كانت أقصوصة ألزهايمر التي نشرت بعد وفاته. أما في الشعر فلديه",أدب روايات,3.7,"مراجعات
9","اقتباسات
3","القرّاء
198",274 صفحة,"طبعات
2",نشر سنة 2011,,https://www.abjjad.com/book/1983250432/%D8%A7%D8%A8%D9%88-%D8%B4%D9%84%D8%A7%D8%AE-%D8%A7%D9%84%D8%A8%D8%B1%D9%85%D8%A7%D8%A6%D9%8A/1983250432/reviews,https://abjjadst.blob.core.windows.net/pub/51e160a9-9999-48b4-87f8-e8214c6e9260-192X290.jpg
556,ISBN 13 9789777196185,ديوان الأسرار والرموز,تأليف محمد إقبال (تأليف) عبد الوهاب عزام (ترجمة),"المؤلفون
2",ديوان الأسرار والرموز» هو كتاب جمع وتَرْجَمَ فيه عبدُ الوهاب عزام ديوانين من دواوين الشاعر الفيلسوف الكبير محمد إقبال؛ هما «أسرار إثبات الذات»، و«رموز نفي الذات»، وهاتان المنظومتان بالأخص من أعمال إقبال هما اللتان تُبرزان مذهبه وتشرحان فلسفته. وقد نُظِمَت هذه الأبيات بالفارسية وترجمها إلى العربية الدكتور عبد الوهاب عزام 			محمد إقبال هو شاعر ومفكر وفيلسوف، استطاع أن يمزج الفلسفة وهي علم جاف بالشعر وهو فن راقٍ جميل؛ مما أكسبه قدرة التأثير في عقل ووجدان الكثير من قارئيه.ولد محمد إقبال في مدينة «سيالكوت» إحدى مدن إقليم «البنجاب» بباكستان الحالية عام ١٨٧٣م في رحاب أسرة ينتهي نسبها إلى براهمة كشمير. كان ترجمة راقية، راعى فيها النص والمعنى. وقد استغرقت ترجمته لهذا العمل الرائع حوالي ثلاث سنوات ونصف السنة. ولولا صحةُ عزمه، وعِظَمُ رغبته، وإتقانُه للغة الفارسية، ومعرفتُه العميقة لأفكار إقبال؛ لَمَا تيسَّر له ترجمةُ هذا الكتاب، خاصةً وأن إقبال شاعر كبير، يُثري نصَّه بالكثير من المعاني الإنسانية الفياضة.	 والداه صالحَين تقيَين؛ فأما أبوه فكان متصوفًا عاملًا كادحًا في كسب رزقه يعمل لدينه ودنياه. ويُؤْثَرُ عنه أنه قال لإقبال حين رآه يكثر من قراءة القرآن: إن أردت أن تَفْقَه القرآن؛ فاقرأه كما أنزل عليك.وقد بدأ إقبال التعلم في طفولته على يدي أبيه، ثم التحق بالكُتَّاب لحفظ القرآن الكريم، ثم دخل مدرسة البعثة الأسكوتية في سيالكوت، ويقال إنَّ أباه أدخله هذه المدرسة ليكون في رعاية صديقه «مير حسن» الذي كان أستاذًا وأديبًا متضلعًا في الأدب الفارسي عارفًا بالعربية. ثم التحق بالكلية الحكومية في لاهور من أجل إتمام دراسته التي توَّجها بحصوله على درجة الليسانس في اللغتين العربية والإنجليزية، ودرجة الماجستير,أدب دواوين شعر,4,مراجعات,اقتباسات,"القرّاء
198",328 صفحة,"طبعات
3",نشر سنة 2013,مؤسسة هنداوي للتعليم والثقافة,https://www.abjjad.com/book/2183889033/%D8%A7%D9%84%D8%A7%D8%B3%D8%B1%D8%A7%D8%B1-%D9%88%D8%A7%D9%84%D8%B1%D9%85%D9%88%D8%B2/2186019274/reviews,https://abjjadst.blob.core.windows.net/pub/3f63e068-141c-43b1-99ff-4f3e28e8ef85-192X290.png
557,,غزل البنات,تأليف حنان لاشين (تأليف),"المؤلفون
1","عقول البنات صناديق مغلقة تمتليء بالأسرار،الحب،العشق،الجريمة ربما...وانتظار الفرار.
""غزل البنات"" رواية رومانسية عن الحب و عمّا يدور في عقول البنات.
عن شيء ما يبدأ منذ طفولتهن،بل ربما يولد معهن ويستمر طويلا...
عن تلك الأسرار تدور أحداث الرواية التي لا تخلو من الإثارة والغموض ...
وأما لماذا ""غزْل البنات"" وما علاقته بالحب....فلابد أن تقرأ للنهاية.
	
			طبيبة بيطرية حاصلة على بكالوريوس الطب البيطري ، من كلية الطب البيطري بجامعة الإسكندريةكاتبة روائية،عضو اتحاد كتاب مصر، صدر لها عدة مؤلفات ونشرت لها مقالات في المجال الاجتماعيقامت بكتابة قصة و سيناريو ؛""انس في بلاد العجائب""""مسافر زاده القرآن""""مذكرات صائم ""تنوعت بين الكتب والروايات ومنها، غزل البنات،الهالة المقدسة،كوني صحابية،ممنوع الضحك ، منارات الحب، إيكادولي،أوبال،أمانوس ",أدب روايات,4.2,"مراجعات
6","اقتباسات
12","القرّاء
198",القمري للنشر و التوزيع,"طبعات
1",1 صفحة,,https://www.abjjad.com/book/2457174058/%D8%BA%D8%B2%D9%84-%D8%A7%D9%84%D8%A8%D9%86%D8%A7%D8%AA/2457403434/reviews,https://abjjadst.blob.core.windows.net/pub/11f4e829-be29-4652-b107-d4054fe3e031-192X290.png
558,ISBN 13 9789996697654,أردت أن أبصر,تأليف بورغيلد دال (تأليف) ساجد العبدلي (ترجمة),"المؤلفون
2",وُلِدَت بعين واحدة مليئة بالندبات الغائرة، فكانت شبه ضريرة لمدة نصف قرن من عمرها، ولكي تتمكن من الرؤية طوال تلك السنين كان عليها أن تستخدم عينها اليسرى فتحرِفَها إلى أقصى اليسار حيث فتحة صغيرة غائرة في جفنها يمكن للضوء أن يمر عبرها، إلا أنها وعلى الرغم من كل هذا الألم رفضت أن تكون محل شفقة الآخرين وأن ينظروا إليها على أنها معاقة أو أدنى من غيرها.,أدب روايات,4.2,"مراجعات
3","اقتباسات
1","القرّاء
198",478 صفحة,"طبعات
1",نشر سنة 2018,دار شفق للنشر والتوزيع,https://www.abjjad.com/book/2699657219/%D8%A7%D8%B1%D8%AF%D8%AA-%D8%A7%D9%86-%D8%A7%D8%A8%D8%B5%D8%B1/2699952131/reviews,https://abjjadst.blob.core.windows.net/pub/8ed51bcb-6dc5-4f02-8d57-df2a9b427076-192X290.png
559,ISBN 13 9789770913710,حمار الحكيم,تأليف توفيق الحكيم (تأليف),"المؤلفون
1","هذا الكتاب هو إحدى روايات توفيق الحكيم الشهيرة ولكنها أقرب إلى السيرة الذاتية في فترة معينة منها الى الرواية  وتصدر ضمن مشروع دار الشروق لإعادة نشر الأعمال الكاملة لأبى المسرح العربى
				كاتب وأديب مصري، من رواد الرواية والكتابة المسرحية العربية ومن الأسماء البارزة في تاريخ الأدب العربي الحديث، كانت للطريقة التي استقبل بها الشارع الأدبي العربي نتاجاته الفنية بين اعتباره نجاحا عظيما تارة وإخفاقا كبيرا تارة أخرى الأثر الأعظم على تبلور خصوصية تأثير أدب وفكر الحكيم على أجيال متعاقبة من الأدباء ،وكانت مسرحيته المشهورة أهل الكهف في عام 1933 حدثا هاما في الدراما العربية فقد كانت تلك المسرحية بداية لنشوء تيار مسرحي عرف بالمسرح الذهني. بالرغم من الإنتاج الغزير للحكيم فإنه لم يكتب إلا عدداً قليلاً من المسرحيات التي يمكن تمثيلها على خشبة المسرح فمعظم مسرحياته من النوع الذي كُتب ليُقرأ فيكتشف القارئ من خلاله عالماً من الدلائل والرموز التي يمكن إسقاطها على الواقع في سهولة لتسهم في تقديم رؤية نقدية للحياة والمجتمع تتسم بقدر كبير من العمق والوعي . سمي تياره المسرحي بالمسرح الذهني لصعوبة تجسيدها في عمل مسرحي [2] وكان الحكيم يدرك ذلك جيدا حيث قال في إحدى اللقاءات",أدب روايات كتب دار الشروق كتب دار الشروق,3.8,"مراجعات
11","اقتباسات
7","القرّاء
197",70 صفحة,"طبعات
5",نشر سنة 2019,دار الشروق,https://www.abjjad.com/book/15446174/%D8%AD%D9%85%D8%A7%D8%B1-%D8%A7%D9%84%D8%AD%D9%83%D9%8A%D9%85/24749521/reviews,https://abjjadst.blob.core.windows.net/pub/e1d1cd94-b116-496f-bcaf-7c0c70552dc5-192X290.png
560,دار المنى,فتاة البرتقال,تأليف جوستاين غاردر (تأليف) مدني قصري (ترجمة),"المؤلفون
2","لا يذكر جورج الصغير عن والده إلا القليل. توفي والده عندما كان جورج في الرابعة من عمره.فجأة وبعد أحد عشر عاماً تصله رسالة من والده كان قد عنونَها إلى جورج ""الكبير"". لقد ظهرت تلك الرسالة في الوقت المناسب. إنها رسالة وداع تروي قصة حب لفتاة البرتقال العجيبة.هذه الرسالة رحلة إلى 			جوستاين غاردر هو كاتب نرويجي ولد في الثامن من شهر أغسطس سنة 1952، ويعمل أستاذاً في الفلسفة وتاريخ الفكر وهو يمارس الأدب والتعليم معاً. أشتهر بكتابته للأطفال بمنظور القصة داخل القصة.روايته سر الصبر هي التي جعلته معروفاً لدى الجمهور النرويجي. وحصل من وراءه على جائزة النقد الكبرى. لكن كتاب عالم الماضي، لكنها تطرح على جورج أسئلة عن مغزى الحياة ودلالاتها.فتاة البرتقال أنشودة للحياة والحب والشجاعةالتي لا غنىً عنها في التغلّب على أكثر الدروب صعوبة ووعورة.	 صوفي هو الذي أخرجه للعالمية، حيث ترجم إلى أكثر من ثلاثة وخمسين لغة، وبيع منها أكثر من ثلاثين مليون نسخة ،وفي ألمانيا وحدها تعدت مبيعاتها المليون نسخة.وتم تحويل الرواية لفيلم سينمائي، وأيضا تم تحويلها للعبة فيديو، وحاليا يتم تقديم جائزة سنوية للأعمال المختصة بتطوير ودعم البيئة باسم (جائزة صوفي) مقدمة من غاردر وزوجته.",أدب روايات,3.8,"مراجعات
18","اقتباسات
4","القرّاء
197",203 صفحة,"طبعات
1",نشر سنة 2006,,https://www.abjjad.com/book/2107473920/%D9%81%D8%AA%D8%A7%D8%A9-%D8%A7%D9%84%D8%A8%D8%B1%D8%AA%D9%82%D8%A7%D9%84/2107506688/reviews,https://abjjadst.blob.core.windows.net/pub/41d0014e-282b-43a5-84e5-2b62e77c65c2-192X290.jpg
561,ISBN 13 9789776634329,العائد (مخطوطة بن إسحاق #3),تأليف حسن الجندي (تأليف),"المؤلفون
1","الجزء الثالث والأخير من ثلاثية مخطوطة ابن إسحاق.
إلى الصوت الذى كان يحدثني عند كتابة هذه الثلاثية شكرًا.. لإنك توقفت.
				حسن الجندي مؤلف مصري شاب حصل على شهرة من خلال ثلاثية (مخطوطة بن إسحاق) والتي وضعت منذ مدة طويلة على المنتديات العربية وانتهت بطباعتها ونزولها المكتبات المصرية، يتميز بسهولة تعبيراته واهتمامه بعامل التشويق داخل الروايات واختراقه أماكن كثيرة محرمة، يقول في أحد اللقاءات الصحفية أنه تلقى الكثير من الاتصالات والرسائل تطلب منه أرقام هواتف شخصيات معينة في روايته وعندما كان يخبرهم بأنها شخصيات ليست حقيقية كان البعض يصر على أنه يخفي حقيقتها لدواعي أمنية. دائماً ما يقول أنه يحاول أن يوجد نوعاً جديداً من أدب الرعب يناسب العقلية المصرية والعربية ويمكنه أن يفرض نفسه على الساحة العالمية وليس مجرد تقليد أو مسخ للقصص الأوربية عن الرعب والتي تتكلم عن مصاصي الدماء والمتحولين والمذؤوب، يجمع الكثير على أنه استطاع بعد ظهور أولى رواياته أن يثبت أنه يسير على الطريق الصحيح.أصبح اسمه يتردد على استحياء في أوساط المؤلفين الشباب.. غيرت رواياته مفاهيم كثيرة لعقول الشباب.. اقترن اسمه بعالم الجن والعفاريت والمخطوطات القديمة",أدب روايات,3.9,"مراجعات
7",اقتباسات,"القرّاء
197",438 صفحة,"طبعات
2",نشر سنة 2019,دارك للنشر والتوزيع,https://www.abjjad.com/book/2440332577/%D8%A7%D9%84%D8%B9%D8%A7%D8%A6%D8%AF-%D9%85%D8%AE%D8%B7%D9%88%D8%B7%D8%A9-%D8%A8%D9%86-%D8%A7%D8%B3%D8%AD%D8%A7%D9%82-3/2738028545/reviews,https://abjjadst.blob.core.windows.net/pub/d436c864-1fe6-40e4-b0ca-c39d6d957f81-192X290.png
